startTimePeriod,CumDensity,long,lat
17/12/2015 22:00,48,103.73179653,1.24227702603
17/12/2015 22:00,48,103.759984277,1.24684895909
17/12/2015 22:00,48,103.74584592,1.27198656
17/12/2015 22:00,1,103.78145,1.1744146
17/12/2015 22:00,13,103.783123612,1.2253900353
17/12/2015 22:00,1,103.827768,1.1950361
17/12/2015 22:00,17,103.844459175,1.21065215357
17/12/2015 22:00,17,103.8308536,1.205313445
17/12/2015 22:00,17,103.819281588,1.2062461125
17/12/2015 22:00,17,103.84431244,1.205993964
17/12/2015 22:00,16,103.866077287,1.23489072813
17/12/2015 22:00,7,103.8908154,1.2251638
17/12/2015 22:00,13,103.781687126,1.24992529706
17/12/2015 22:00,3,103.834607256,1.2624825623
17/12/2015 22:00,2,103.842808537,1.24088895
17/12/2015 22:00,7,103.90070906,1.2465435
17/12/2015 22:00,3,103.914981055,1.27286721818
17/12/2015 22:00,3,103.941129968,1.26927516
17/12/2015 22:00,3,104.1065086,1.294083
17/12/2015 23:00,14,103.6602458,1.20948365455
17/12/2015 23:00,14,103.73179653,1.24227702603
17/12/2015 23:00,14,103.759984277,1.24684895909
17/12/2015 23:00,14,103.74584592,1.27198656
17/12/2015 23:00,6,103.652038186,1.24502212143
17/12/2015 23:00,1,103.78145,1.1744146
17/12/2015 23:00,10,103.783123612,1.2253900353
17/12/2015 23:00,3,103.844459175,1.21065215357
17/12/2015 23:00,3,103.8308536,1.205313445
17/12/2015 23:00,3,103.819281588,1.2062461125
17/12/2015 23:00,3,103.84431244,1.205993964
17/12/2015 23:00,1,103.827768,1.1950361
17/12/2015 23:00,5,103.866077287,1.23489072813
17/12/2015 23:00,11,103.781687126,1.24992529706
17/12/2015 23:00,3,103.834607256,1.2624825623
17/12/2015 23:00,2,103.90070906,1.2465435
17/12/2015 23:00,6,103.914981055,1.27286721818
17/12/2015 23:00,6,103.941129968,1.26927516
17/12/2015 23:00,1,104.1065086,1.294083
18/12/2015 0:00,2,103.6012167,1.2151
18/12/2015 0:00,5,103.6580097,1.2004558
18/12/2015 0:00,58,103.6602458,1.20948365455
18/12/2015 0:00,58,103.73179653,1.24227702603
18/12/2015 0:00,58,103.759984277,1.24684895909
18/12/2015 0:00,58,103.74584592,1.27198656
18/12/2015 0:00,22,103.652038186,1.24502212143
